,Title,Link,Rating,Release Year
140,There Will Be Blood,https://www.imdb.com/title/tt0469494/?ref_=chttp_i_141,8.2,2007
141,Casino,https://www.imdb.com/title/tt0112641/?ref_=chttp_i_142,8.2,1995
142,Jurassic Park,https://www.imdb.com/title/tt0107290/?ref_=chttp_i_143,8.2,1993
143,Ran,https://www.imdb.com/title/tt0089881/?ref_=chttp_i_144,8.2,1985
144,The Sixth Sense,https://www.imdb.com/title/tt0167404/?ref_=chttp_i_145,8.2,1999
145,El laberinto del fauno,https://www.imdb.com/title/tt0457430/?ref_=chttp_i_146,8.2,2006
146,Unforgiven,https://www.imdb.com/title/tt0105695/?ref_=chttp_i_147,8.2,1992
147,No Country for Old Men,https://www.imdb.com/title/tt0477348/?ref_=chttp_i_148,8.2,2007
148,A Beautiful Mind,https://www.imdb.com/title/tt0268978/?ref_=chttp_i_149,8.2,2001
149,The Thing,https://www.imdb.com/title/tt0084787/?ref_=chttp_i_150,8.2,1982
150,Kill Bill: Vol. ,https://www.imdb.com/title/tt0266697/?ref_=chttp_i_151,8.2,2003
151,The Treasure of the Sierra Madre,https://www.imdb.com/title/tt0040897/?ref_=chttp_i_152,8.2,1948
152,Yôjinbô,https://www.imdb.com/title/tt0055630/?ref_=chttp_i_153,8.2,1961
153,Monty Python and the Holy Grail,https://www.imdb.com/title/tt0071853/?ref_=chttp_i_154,8.2,1975
154,The Great Escape,https://www.imdb.com/title/tt0057115/?ref_=chttp_i_155,8.2,1963
155,Finding Nemo,https://www.imdb.com/title/tt0266543/?ref_=chttp_i_156,8.2,2003
156,Rashômon,https://www.imdb.com/title/tt0042876/?ref_=chttp_i_157,8.2,1950
157,Prisoners,https://www.imdb.com/title/tt1392214/?ref_=chttp_i_158,8.2,2013
158,Hauru no ugoku shiro,https://www.imdb.com/title/tt0347149/?ref_=chttp_i_159,8.2,2004
159,The Elephant Man,https://www.imdb.com/title/tt0080678/?ref_=chttp_i_160,8.2,1980
160,Chinatown,https://www.imdb.com/title/tt0071315/?ref_=chttp_i_161,8.1,1974
161,Dial M for Murder,https://www.imdb.com/title/tt0046912/?ref_=chttp_i_162,8.2,1954
162,Gone with the Wind,https://www.imdb.com/title/tt0031381/?ref_=chttp_i_163,8.2,1939
163,V for Vendetta,https://www.imdb.com/title/tt0434409/?ref_=chttp_i_164,8.2,2005
164,"Lock, Stock and Two Smoking Barrels",https://www.imdb.com/title/tt0120735/?ref_=chttp_i_165,8.1,1998
165,El secreto de sus ojos,https://www.imdb.com/title/tt1305806/?ref_=chttp_i_166,8.2,2009
166,Inside Out,https://www.imdb.com/title/tt2096673/?ref_=chttp_i_167,8.1,2015
167,Raging Bull,https://www.imdb.com/title/tt0081398/?ref_=chttp_i_168,8.1,1980
168,"Three Billboards Outside Ebbing, Missouri",https://www.imdb.com/title/tt5027774/?ref_=chttp_i_169,8.1,2017
169,Trainspotting,https://www.imdb.com/title/tt0117951/?ref_=chttp_i_170,8.1,1996
170,The Bridge on the River Kwai,https://www.imdb.com/title/tt0050212/?ref_=chttp_i_171,8.1,1957
171,Fargo,https://www.imdb.com/title/tt0116282/?ref_=chttp_i_172,8.1,1996
172,Spider-Man: No Way Home,https://www.imdb.com/title/tt10872600/?ref_=chttp_i_173,8.2,2021
173,Klaus,https://www.imdb.com/title/tt4729430/?ref_=chttp_i_174,8.2,2019
174,Catch Me If You Can,https://www.imdb.com/title/tt0264464/?ref_=chttp_i_175,8.1,2002
175,Warrior,https://www.imdb.com/title/tt1291584/?ref_=chttp_i_176,8.1,2011
176,Gran Torino,https://www.imdb.com/title/tt1205489/?ref_=chttp_i_177,8.1,2008
177,Gojira -,https://www.imdb.com/title/tt23289160/?ref_=chttp_i_178,8.3,2023
178,Tonari no Totoro,https://www.imdb.com/title/tt0096283/?ref_=chttp_i_179,8.1,1988
179,Million Dollar Baby,https://www.imdb.com/title/tt0405159/?ref_=chttp_i_180,8.1,2004
180,Harry Potter and the Deathly Hallows - Part ,https://www.imdb.com/title/tt1201607/?ref_=chttp_i_181,8.1,2011
181,Bacheha-Ye aseman,https://www.imdb.com/title/tt0118849/?ref_=chttp_i_182,8.2,1997
182,Years a Slave,https://www.imdb.com/title/tt2024544/?ref_=chttp_i_183,8.1,2013
183,Blade Runner,https://www.imdb.com/title/tt0083658/?ref_=chttp_i_184,8.1,1982
184,Before Sunrise,https://www.imdb.com/title/tt0112471/?ref_=chttp_i_185,8.1,1995
185,Ben-Hur,https://www.imdb.com/title/tt0052618/?ref_=chttp_i_186,8.1,1959
186,Barry Lyndon,https://www.imdb.com/title/tt0072684/?ref_=chttp_i_187,8.1,1975
187,The Grand Budapest Hotel,https://www.imdb.com/title/tt2278388/?ref_=chttp_i_188,8.1,2014
188,Gone Girl,https://www.imdb.com/title/tt2267998/?ref_=chttp_i_189,8.1,2014
189,Hacksaw Ridge,https://www.imdb.com/title/tt2119532/?ref_=chttp_i_190,8.1,2016
190,The Gold Rush,https://www.imdb.com/title/tt0015864/?ref_=chttp_i_191,8.1,1925
191,Salinui chueok,https://www.imdb.com/title/tt0353969/?ref_=chttp_i_192,8.1,2003
192,In the Name of the Father,https://www.imdb.com/title/tt0107207/?ref_=chttp_i_193,8.1,1993
193,Dead Poets Society,https://www.imdb.com/title/tt0097165/?ref_=chttp_i_194,8.1,1989
194,Relatos salvajes,https://www.imdb.com/title/tt3011894/?ref_=chttp_i_195,8.1,2014
195,Mad Max: Fury Road,https://www.imdb.com/title/tt1392190/?ref_=chttp_i_196,8.1,2015
196,The General,https://www.imdb.com/title/tt0017925/?ref_=chttp_i_197,8.1,1926
197,The Deer Hunter,https://www.imdb.com/title/tt0077416/?ref_=chttp_i_198,8.1,1978
198,On the Waterfront,https://www.imdb.com/title/tt0047296/?ref_=chttp_i_199,8.1,1954
199,"Monsters, Inc.",https://www.imdb.com/title/tt0198781/?ref_=chttp_i_200,8.1,2001
200,Sherlock Jr.,https://www.imdb.com/title/tt0015324/?ref_=chttp_i_201,8.2,1924
201,The Third Man,https://www.imdb.com/title/tt0041959/?ref_=chttp_i_202,8.1,1949
202,Jaws,https://www.imdb.com/title/tt0073195/?ref_=chttp_i_203,8.1,1975
203,How to Train Your Dragon,https://www.imdb.com/title/tt0892769/?ref_=chttp_i_204,8.1,2010
204,Le salaire de la peur,https://www.imdb.com/title/tt0046268/?ref_=chttp_i_205,8.2,1953
205,Smultronstället,https://www.imdb.com/title/tt0050986/?ref_=chttp_i_206,8.1,1957
206,Mary and Max.,https://www.imdb.com/title/tt0978762/?ref_=chttp_i_207,8.1,2009
207,Mr. Smith Goes to Washington,https://www.imdb.com/title/tt0031679/?ref_=chttp_i_208,8.1,1939
208,Ratatouille,https://www.imdb.com/title/tt0382932/?ref_=chttp_i_209,8.1,2007
209,Ford v Ferrari,https://www.imdb.com/title/tt1950186/?ref_=chttp_i_210,8.1,2019
210,Tôkyô monogatari,https://www.imdb.com/title/tt0046438/?ref_=chttp_i_211,8.1,1953
